date,close,open,high,low,volume,SMA_7d,ATR_7d,BB_Upper_7d,BB_Lower_7d,Return_Std_7d,SMA_14d,ATR_14d,BB_Upper_14d,BB_Lower_14d,Return_Std_14d,SMA_30d,ATR_30d,BB_Upper_30d,BB_Lower_30d,Return_Std_30d,SMA_50d,ATR_50d,BB_Upper_50d,BB_Lower_50d,Return_Std_50d
2025-01-27,102090.565306229,101634.763823287,103220.28098024,97832.5349752467,10903.653680931,104034.76095256499,4227.656159090186,106853.63149791284,101215.89040721714,2.083761358049608,102669.79765259758,4643.415291539122,107677.83315428976,97661.7621509054,2.320849527735103,,,,,,,,,,
2025-01-28,101300.368030514,101221.997363351,103747.123721254,100250.404227626,9300.08494530843,103336.50839416786,3712.192651206615,106086.78487707887,100586.23191125685,1.1939904358248732,103008.82112010066,4678.823761226986,106703.93583363155,99313.70640656978,2.3010044804076752,,,,,,,,,,
2025-01-29,103745.369909948,103507.837029759,104763.077783684,101296.994824734,9656.74777174952,103344.11832396743,3780.6060925308993,106099.2768535833,100588.95979435155,1.4109983975553717,103239.96801959144,4625.939477371891,106655.86059759192,99824.07544159096,2.12874223067828,,,,,,,,,,
2025-01-30,104789.940712272,105167.965592662,106473.551977275,103345.431366212,5389.25952286234,103462.31034304014,3429.9669679578988,106405.82857108324,100518.79211499704,1.4599126022632638,103582.56977681686,4601.412754627578,106525.18759076753,100639.9519628662,2.125722664467383,,,,,,,,,,
2025-01-31,102459.5832836,102249.66300457,106054.79072439,101549.982008983,6322.75969572685,103112.72528140487,3451.1107679044694,105828.14334531118,100397.30721749856,1.6469369396484554,103464.34866857943,4497.73625470402,106447.58594598147,100481.1113911774,1.9284316890477307,,,,,,,,,,
2025-02-01,100631.059748449,100654.617225152,102805.738542159,100279.802764609,13255.7925946337,102517.66893807657,3641.5572792211815,105334.91575476056,99700.42212139259,1.7298153150611677,103192.18165933616,4487.962157504735,106471.9514794896,99912.41183918272,1.975019115319407,,,,,,,,,,
2025-02-02,97678.7719678885,97970.1132946483,101447.449793157,96292.2044726772,32282.8205523713,101813.66556555721,3952.0941260101536,106421.11999869318,97206.21113242125,1.8770101716009817,102934.04814209047,4388.68476470122,107259.87272206233,98608.22356211861,1.9663785515375374,,,,,,,,,,
2025-02-03,101436.407843162,101785.612319359,102504.815026212,91687.2854758568,10245.2450579067,101720.21449940478,4727.777489633283,106327.99579778139,97112.43320102818,2.5477407036474093,102877.48772598489,4477.716824361734,107263.35516798464,98491.62028398513,2.2362794231929923,,,,,,,,,,
2025-02-04,97804.2385175571,97722.9299430854,101774.569125339,95924.4492393112,12683.9367616992,101220.76742612523,5063.977545690396,106713.78954031211,95727.74531193834,2.877589825521829,102278.63791014653,4388.085098448506,106994.3474488167,97562.92837147636,2.119077380024588,100417.8551362608,4415.410650751747,108241.46331882164,92594.24695369996,,,,,,
2025-02-05,96625.261316975,96489.6033288995,99140.6592695527,96187.4352975343,11591.1643394573,100203.60905570051,4990.71197612874,106134.47288062275,94272.74523077827,2.584353427325361,101773.86368983398,4385.65903432982,107283.82281222536,96263.90456744259,2.066293180361338,100229.33474500102,4489.075214356194,108139.26617313549,92319.40331686655,2.422718372382098,,,,,
2025-02-06,96579.8329029594,96943.8141007452,99199.7861618104,95726.6503585221,7960.95524587009,99030.73651151301,5039.999860732355,103877.08386949994,94184.38915352608,2.477669394758815,101246.52342727657,4234.983414345127,107245.57557278196,95247.47128177117,2.059392752031127,100216.1746747918,4386.969444949031,108149.79112967465,92282.55821990894,2.2289658205879643,,,,,
2025-02-07,96539.7981854609,96079.014468785,100180.304039999,95668.4791668097,8808.01889131083,98185.05292606456,5041.002168986969,102240.6780354869,94129.42781664222,2.454678122657641,100648.8891037347,4246.0564684457195,106743.50784944292,94554.2703580265,2.0246119292657276,100264.59222278906,4382.46806518578,108085.61807445981,92443.5663711183,2.198228839339266,,,,,
2025-02-08,96479.319789231,96502.4870237833,96897.0272577169,95722.7939330383,4287.39293234202,97591.94721760484,4847.90181857677,101163.71597004426,94020.17846516543,2.428138899230683,100054.80807784072,4244.729548898976,106028.11248757457,94081.50366810686,2.025397643866255,100394.53683985399,4284.62352796583,107806.13140121869,92982.94227848928,2.1382420307980077,,,,,
